Country,Main indicators & events,Time,Period,Consensus,T-1
26 April 2021,--,--,--,--,--
GE,IFO Business Climate,10:00,Apr,98.0,96.6
US,Cap Goods Orders Nondef Ex Air,14:30,Mar P,1.5%,-0.9%
US,Dallas Fed Manf. Activity,16:30,Apr,30.0,28.9
GE,Import Price Index YoY,26-30,Mar,--,1.4%
27 April 2021,--,--,--,--,--
CH,Industrial Profits YoY,03:30,Mar,--,20.1%
IT,Economic Sentiment,10:00,Apr,--,93.9
FR,Total Jobseekers,12:00,1Q,--,3574.3k
UK,CBI Total Dist. Reported Sales,12:00,Apr,--,-28.0
US,FHFA House Price Index MoM,15:00,Feb,1.0%,1.0%
US,S&P CoreLogic CS 20-City YoY NSA,15:00,Feb,11.8%,11.1%
US,Conf. Board Consumer Confidence,16:00,Apr,111.9,109.7
US,Richmond Fed Manufact. Index,16:00,Apr,20.0,17.0
JN,BOJ Policy Balance Rate,--,--,-0.1%,-0.1%
GE,Retail Sales MoM,27-02,Mar,3.0%,1.2%
28 April 2021,--,--,--,--,--
JN,Retail Sales MoM,01:50,Mar,0.6%,3.1%
GE,GfK Consumer Confidence,08:00,May,-3.5,-6.2
FR,Consumer Confidence,08:45,Apr,93.0,94.0
US,Advance Goods Trade Balance,14:30,Mar,-$87.5b,-$86.7b
US,Wholesale Inventories MoM,14:30,Mar P,--,0.6%
US,DOE U.S. Crude Oil Inventories,16:30,--,--,594k
US,FOMC Rate Decision (Lower Bound),20:00,--,0.0%,0.0%
US,Powell Holds Press Conference,20:30,--,--,--
29 April 2021,--,--,--,--,--
GE,Unemployment Change (000's),09:55,Apr,-10.0k,-8.0k
EC,M3 Money Supply YoY,10:00,Mar,--,12.3%
EC,Economic Confidence,11:00,Apr,102.0,101.0
GE,CPI EU Harmonized YoY,14:00,Apr P,--,2.0%
US,Initial Jobless Claims,14:30,--,--,547k
US,GDP Annualized QoQ,14:30,1Q A,6.5%,4.3%
US,Pending Home Sales MoM,16:00,Mar,4.0%,-10.6%
30 April 2021,--,--,--,--,--
JN,Jobless Rate,01:30,Mar,2.9%,2.9%
JN,Tokyo CPI YoY,01:30,Apr,-0.2%,-0.2%
JN,Industrial Production MoM,01:50,Mar P,-2.0%,-1.3%
JN,Jibun Bank Japan PMI Mfg,02:30,Apr F,--,53.3
CH,Non-manufacturing PMI,03:00,Apr,56.0,56.3
CH,Manufacturing PMI,03:00,Apr,51.7,51.9
JN,Housing Starts YoY,07:00,Mar,-7.4%,-3.7%
JN,Consumer Confidence Index,07:00,Apr,34.0,36.1
FR,Consumer Spending MoM,07:30,Mar,--,0.0%
FR,GDP QoQ,07:30,1Q P,-0.4%,-1.4%
FR,PPI YoY,08:45,Mar,--,1.8%
FR,CPI EU Harmonized YoY,08:45,Apr P,--,1.4%
GE,GDP SA QoQ,10:00,1Q P,-1.5%,0.3%
IT,GDP WDA QoQ,10:00,1Q P,-0.4%,-1.9%
EC,Unemployment Rate,11:00,Mar,8.4%,8.3%
EC,CPI Estimate YoY,11:00,Apr,1.5%,1.3%
EC,GDP SA QoQ,11:00,1Q A,-1.0%,-0.7%
US,Personal Spending,14:30,Mar,4.2%,-1.0%
US,PCE Core Deflator YoY,14:30,Mar,1.8%,1.4%
US,U. of Mich. Sentiment,16:00,Apr F,87.5,86.5
US,Baker Hughes U.S. Rotary Oil Rigs,19:00,--,--,--
