Bcm,Russia pipe,Africa pipe,Other CIS pipe,Middle East pipe,Net LNG imports,Production
2000,190.163743732691,33.1443367935146,0,0,32.858440451046,309.925022981662
2001,184.575427657686,29.0246411694932,0,0,34.2621476291818,313.893861920826
2002,189.071408177232,29.3411904220075,0,0.6473,40.7432145844335,322.737858183074
2003,193.022123039485,29.7917954256532,0,3.413625,41.1298295712137,326.15043563497
2004,208.696129854639,33.7037065011203,0,3.440175,40.041541067474,337.409727440855
2005,216.457365726728,42.2888592034779,0,4.180225,49.7404928004213,327.580394747319
2006,212.486226270814,42.7709305774548,0.017902724146843,5.50265,58.9784751139744,320.371702681919
2007,213.929236829301,40.9292230951647,0.800193237304687,5.955625,54.1969189350323,306.26919936365
2008,226.217368811374,44.8930828514264,1.04776782531738,3.9412,54.8683059028358,320.43773245718
2009,167.415477372375,39.3189957413771,6.583743,5.029675,67.1086822071424,303.569155320633
2010,168.089783938522,43.4418938347587,5.631246,7.60231002401062,84.0039626362474,310.124393081076
2011,185.977278975954,34.4257775793487,5.683581,8.27004106235137,83.131032911426,284.807963315078
2012,177.049531230778,38.4818776252823,4.7361990950225,8.21516343844148,60.0939396935886,287.511413755127
2013,187.331385398493,33.2768170065954,5.22838301049775,8.24539263221808,42.752752005229,280.025150631659
2014,163.956885273115,29.085102021367,7.641888,8.67381592912208,39.0594820805658,266.080813755344
2015,169.369233305128,29.8288119851424,8.142914948,7.532861875,45.0248242698528,260.842736391062
2016,176.342539416891,38.6712455882129,8.17608917531,7.415610125,45.7700934782097,259.93404541129
2017,192.984259543921,37.1986429125512,8.09123810425,8.903741,56.7489313149671,262.681277287049
2018,193.231005288317,37.3148213281884,9.198524625,7.568031625,59.5195316092602,251.421880023982
2019,191.522683821362,26.5319328776346,11.45865875,7.446198375,110.275341820626,235.20540062512
2020,167.6604536132,25.204578831707,13.3595878142514,5.121491375,109.163606980354,218.56939263472
