Date,Country,Main indicators & events,Time,Period,Consensus,T-1
2022-02-07,CH,Caixin China PMI Services,02:45,Jan,50.5,53.1
2022-02-07,JN,Leading Index CI,06:00,Dec P,103.7,103.2
2022-02-07,GE,Industrial Production SA MoM,08:00,Dec,0.5%,-0.2%
2022-02-07,EC,Sentix Investor Confidence,10:30,Feb,15.5,14.9
2022-02-07,EC,ECB's Lagarde Speaks,16:45,--,--,--
2022-02-07,CH,Foreign Reserves,--,Jan,$3254.00b,$3250.17b
2022-02-08,JN,Household Spending YoY,00:30,Dec,0.0%,-1.3%
2022-02-08,JN,BoP Current Account Adjusted,00:50,Dec,¥1120.1b,¥1369.5b
2022-02-08,FR,Trade Balance,08:45,Dec,--,-9727m
2022-02-08,IT,Retail Sales MoM,10:00,Dec,-0.2%,-0.4%
2022-02-08,US,NFIB Small Business Optimism,12:00,Jan,97.5,98.9
2022-02-08,US,Trade Balance,14:30,Dec,-$83.0b,-$80.2b
2022-02-08,US,STEO Current Yr Crude Forecast,18:00,Feb,--,11.8
2022-02-09,JN,Machine Tool Orders YoY,07:00,Jan P,--,40.6%
2022-02-09,GE,Trade Balance,08:00,Dec,11.0b,12.0b
2022-02-09,IT,Industrial Production MoM,10:00,Dec,-0.9%,1.9%
2022-02-09,UK,BOE chief economist Huw Pill speaks,14:10,--,--,--
2022-02-09,US,DOE U.S. Crude Oil Inventories,16:30,--,--,-1047k
2022-02-09,US,Fed’s Mester on Eco and Policy Outlook,18:00,--,--,--
2022-02-09,CH,Aggregate Financing CNY,9-15,Jan,5420.0b,2370.0b
2022-02-10,JN,PPI YoY,00:50,Jan,8.2%,8.5%
2022-02-10,EC,European Commission's Economic Forecasts,11:00,--,--,--
2022-02-10,EC,ECB's Villeroy speaks,13:30,--,--,--
2022-02-10,US,CPI YoY,14:30,Jan,7.3%,7.0%
2022-02-10,US,Initial Jobless Claims,14:30,--,235k,238k
2022-02-11,GE,CPI EU Harmonized YoY,08:00,Jan F,5.1%,5.1%
2022-02-11,UK,GDP QoQ,08:00,4Q P,1.1%,1.1%
2022-02-11,UK,Monthly GDP (MoM),08:00,Dec,-0.5%,0.9%
2022-02-11,UK,Industrial Production MoM,08:00,Dec,0.1%,1.0%
2022-02-11,UK,Index of Services MoM,08:00,Dec,-0.7%,0.7%
2022-02-11,UK,Trade Balance GBP/Mn,08:00,Dec,-£500m,£626m
2022-02-11,US,U. of Mich. Sentiment,16:00,Feb P,67.5,67.2
2022-02-11,US,Baker Hughes U.S. Rotary Oil Rigs,19:00,--,--,--
2022-02-14,EC,ECB's Lagarde Speaks,17:00,--,--,--
2022-02-15,JN,GDP SA QoQ,00:50,4Q P,1.4%,-0.9%
2022-02-15,UK,Jobless Claims Change,08:00,Jan,--,-43.3k
2022-02-15,UK,Weekly Earnings ex Bonus 3M/YoY,08:00,Dec,--,3.8%
2022-02-15,GE,ZEW Survey Expectations,11:00,Feb,--,51.7
2022-02-15,EC,Trade Balance SA,11:00,Dec,--,-1.3b
2022-02-15,EC,Employment QoQ,11:00,4Q P,--,0.9%
2022-02-15,EC,GDP SA QoQ,11:00,4Q P,--,0.3%
2022-02-15,US,Empire Manufacturing,14:30,Feb,--,-0.7
2022-02-15,US,PPI Final Demand YoY,14:30,Jan,--,9.7%
2022-02-15,US,Net Long-term TIC Flows,22:00,Dec,--,$137.4b
2022-02-16,CH,PPI YoY,02:30,Jan,9.5%,10.3%
2022-02-16,CH,CPI YoY,02:30,Jan,1.0%,1.5%
2022-02-16,UK,CPI YoY,08:00,Jan,--,5.4%
2022-02-16,UK,PPI Output NSA YoY,08:00,Jan,--,9.3%
2022-02-16,UK,House Price Index YoY,10:30,Dec,--,10.0%
2022-02-16,EC,Industrial Production SA MoM,11:00,Dec,--,2.3%
2022-02-16,US,Retail Sales Advance MoM,14:30,Jan,1.3%,-1.9%
2022-02-16,US,Import Price Index YoY,14:30,Jan,--,10.4%
2022-02-16,US,Industrial Production MoM,15:15,Jan,0.6%,-0.1%
2022-02-16,US,Business Inventories,16:00,Dec,--,1.3%
2022-02-16,US,NAHB Housing Market Index,16:00,Feb,--,83.0
2022-02-16,US,DOE U.S. Crude Oil Inventories,16:30,--,--,--
2022-02-16,US,FOMC Meeting Minutes,20:00,--,--,--
2022-02-17,JN,Trade Balance Adjusted,00:50,Jan,--,-¥435.3b
2022-02-17,JN,Core Machine Orders YoY,00:50,Dec,--,11.6%
2022-02-17,EC,EU27 New Car Registrations,08:00,Jan,--,-22.8%
2022-02-17,EC,ECB Publishes Economic Bulletin,10:00,--,--,--
2022-02-17,US,Building Permits MoM,14:30,Jan,-4.5%,9.1%
2022-02-17,US,Housing Starts MoM,14:30,Jan,-0.1%,1.4%
2022-02-17,US,Initial Jobless Claims,14:30,--,--,--
2022-02-17,US,Philadelphia Fed Business Outlook,14:30,Feb,--,23.2
2022-02-17,US,Fed’s Mester on Eco and Policy Outlook,23:00,--,--,--
2022-02-18,JN,Natl CPI YoY,00:30,Jan,--,0.8%
2022-02-18,FR,ILO Unemployment Rate,07:30,4Q,--,8.1%
2022-02-18,UK,Retail Sales Inc Auto Fuel MoM,08:00,Jan,--,-3.7%
2022-02-18,EC,ECB Current Account SA,10:00,Dec,--,23.6b
2022-02-18,US,Existing Home Sales MoM,16:00,Jan,-2.5%,-4.6%
2022-02-18,US,Leading Index,16:00,Jan,--,0.8%
2022-02-18,EC,Consumer Confidence,16:00,Feb A,--,-8.5
2022-02-18,US,Baker Hughes U.S. Rotary Oil Rigs,19:00,--,--,--
